outer,inner,selector,k,features,model,calibration,params,brier_valid
3,2,unknown_selector,-1,"[""ЛПНП перед ТП"", ""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО МЖП перед ТП""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [64, 32]}",0.19864961108127627
3,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз""]",logreg,none,"{""clf__C"": 0.1}",0.15857450995419484
3,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 4, ""clf__n_estimators"": 100}",0.11335253458074579
3,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [64, 32]}",0.21743065046807108
3,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЛПНП перед ТП"", ""ЭХО МЖП перед ТП"", ""ОТТ перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.1521816585098
3,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЛПНП перед ТП"", ""ЭХО МЖП перед ТП"", ""ОТТ перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.16656901967118284
3,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЛПНП перед ТП"", ""ЭХО МЖП перед ТП"", ""ОТТ перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [64, 32]}",0.24145403965085205
3,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЛП перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.20325188092771077
3,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЛП перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.208368751755554
3,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЛП перед ТП""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [64, 32]}",0.20495704972431095
4,1,unknown_selector,-1,"[""relative risk"", ""Мочевая кислота перед ТП"", ""Пол"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.1757579608543594
4,1,unknown_selector,-1,"[""relative risk"", ""Мочевая кислота перед ТП"", ""Пол"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.07879317306037043
4,1,unknown_selector,-1,"[""relative risk"", ""Мочевая кислота перед ТП"", ""Пол"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.17911308680289978
4,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП"", ""стадия ХСН перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.20460683337893776
4,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП"", ""стадия ХСН перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.17193919550419748
4,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП"", ""стадия ХСН перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.18582210606404478
4,3,unknown_selector,-1,"[""relative risk"", ""Пол"", ""Диагноз"", ""Мочевая кислота перед ТП"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.15247407527382628
4,3,unknown_selector,-1,"[""relative risk"", ""Пол"", ""Диагноз"", ""Мочевая кислота перед ТП"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.11308256319392855
4,3,unknown_selector,-1,"[""relative risk"", ""Пол"", ""Диагноз"", ""Мочевая кислота перед ТП"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [32]}",0.20774418046454632
4,4,unknown_selector,-1,"[""relative risk"", ""ОТТ перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""Пол"", ""ЭХО МЖП перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.2795557367056378
4,4,unknown_selector,-1,"[""relative risk"", ""ОТТ перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""Пол"", ""ЭХО МЖП перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.2248121282615553
4,4,unknown_selector,-1,"[""relative risk"", ""ОТТ перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""Пол"", ""ЭХО МЖП перед ТП""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [32]}",0.19050262776567112
4,5,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""Пол"", ""ДАД перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.20785106428554045
4,5,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""Пол"", ""ДАД перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 50}",0.2042551888912151
4,5,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""Пол"", ""ДАД перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.19179626294863655
5,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""стадия ХСН перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.15674884253168198
5,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""стадия ХСН перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.12628605764404285
5,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""стадия ХСН перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.18880656653406042
5,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""Диагноз"", ""ЭХО МЖП перед ТП"", ""стадия ХСН перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.15617445657243434
5,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""Диагноз"", ""ЭХО МЖП перед ТП"", ""стадия ХСН перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.1310892167724393
5,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""Диагноз"", ""ЭХО МЖП перед ТП"", ""стадия ХСН перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.20040071652520014
5,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Мочевая кислота перед ТП"", ""Пол"", ""САД перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО ЗС перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.1607056961732965
5,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Мочевая кислота перед ТП"", ""Пол"", ""САД перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО ЗС перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.10891765872243642
5,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Мочевая кислота перед ТП"", ""Пол"", ""САД перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО ЗС перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.19258474247094415
5,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЛПНП перед ТП"", ""Пол"", ""ЭХО МЖП перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.16612570288366535
5,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЛПНП перед ТП"", ""Пол"", ""ЭХО МЖП перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.24350859047923978
5,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЛПНП перед ТП"", ""Пол"", ""ЭХО МЖП перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [64, 32]}",0.21401220964631315
5,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ЭХО СДЛА перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.20772128630123077
5,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ЭХО СДЛА перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.18091255312248505
5,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ЭХО СДЛА перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.2264761442424736
